Model Family,Opacity Level,Accuracy,Precision,Recall,Macro F1,AUC-ROC,Log-Loss
Simple Baseline: Decision Tree (depth=2),Transparent (3 splits),0.8489180834621329,0.7176470588235294,0.2623655913978495,0.6490737931046441,0.7973060033731938,0.3715153484193453
Simple Baseline: Logistic Regression,Linear (93 weights),0.8705564142194745,0.7389705882352942,0.432258064516129,0.7349935489156034,0.8463606480989064,0.33300414715867177
"Complex Opaque: XGBoost (300 trees, depth 6)","High (~18,900 splits)",0.8867851622874807,0.7574850299401198,0.5440860215053763,0.7831753937338282,0.9033443240697127,0.2764423958653457
